Old URL,New URL,Filename
https://drive.google.com/file/d/12Ul_sg1zLz6b3_PvH5k7LI2mG4PlWWmE/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/school.jpg,school.jpg
https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerrest.jpg,dinnerrest.jpg
https://drive.google.com/file/d/12a320KFU49Q22OyTOvACDVixcRer1v4H/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/restroom.jpg,restroom.jpg
https://drive.google.com/file/d/12gcbXlswsM0sW5_Z7DcSBJGr1Bq-2t8t/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/question.jpg,question.jpg
https://drive.google.com/file/d/12kKvu8IBTJkLrM3hsryH2oaUOq9wkAyI/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/macandcheese.jpg,macandcheese.jpg
https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/paper.jpg,paper.jpg
https://drive.google.com/file/d/12vpSXXIvh5O51Xf7jc-cr6cnonOEz7zw/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/outfit.jpg,outfit.jpg
https://drive.google.com/file/d/12wCJ5Ffbo2FQWJoyCCjGdJUCGOFpqs8y/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/response.jpg,response.jpg
https://drive.google.com/file/d/12y3RCcUA6c2px4Via0vV9blbTbjsS6yw/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/laughing.jpg,laughing.jpg
https://drive.google.com/file/d/12yVqiIYwySGiWCN59JefWnXYMM955wDC/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/heater.jpg,heater.jpg
https://drive.google.com/file/d/13C46DCNwa01dfLqreKVRIq8Gnv03aKQI/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friends.jpg,friends.jpg
https://drive.google.com/file/d/13ZH_IEWc7TBZAJNIPDnJW3vs_q7opGcv/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friday.jpg,friday.jpg
https://drive.google.com/file/d/13jEwppiT8qS5mOqlYMd5R6Jvm04tUxpq/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/book.jpg,book.jpg
https://drive.google.com/file/d/143F_jObaBvG1l77hgZir8HruiOBT9qcV/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/handraised.jpg,handraised.jpg
https://drive.google.com/file/d/146ppWjMD-jv8MsLWh8oFtUXFi-waMntP/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/ceiling.jpg,ceiling.jpg
https://drive.google.com/file/d/1499bBYkmYnrl8QqVGgqBcog_M-Ueo1__/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/essay.jpg,essay.jpg
https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/relationshiptalk.jpg,relationshiptalk.jpg
https://drive.google.com/file/d/14PpW4hP6WC0D2w8vTG9u7dihy5qj4aKs/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/swimteam.jpg,swimteam.jpg
https://drive.google.com/file/d/14SW8n5lb3oYoXJv_Rvnap-Aq51sdmBW9/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/computerscreen.jpg,computerscreen.jpg
https://drive.google.com/file/d/14ZIwQ896HvOjHOGbQ8gdomNAa3eKx7B_/view?usp=share_link,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/content.jpg,content.jpg
https://drive.google.com/file/d/14_16MBBgKRM9oZwTGSN9GJblFNuwndpf/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/neighbor.jpg,neighbor.jpg
https://drive.google.com/file/d/14mVSNxKB88kHmK1Nd3S6M-2rUVzmmoxr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/mentor_talk.jpg,mentor_talk.jpg
https://drive.google.com/file/d/14p-MA9AmO3Kf44iLqLgrc1KHWBpaRA8G/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/visiting.png,visiting.png
https://drive.google.com/file/d/14pWmSJ9hsPOJZFuIKcrGQjriu93VzLz0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/rough.jpg,rough.jpg
https://drive.google.com/file/d/14wxdQT03SW3H6H1dQsVqj2B6s1GhUSY7/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coughed.jpg,coughed.jpg
https://drive.google.com/file/d/15BOnlJB7SXDWnFaZP_Cm6vzosTdkmVsp/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/airport_1.jpg,airport_1.jpg
https://drive.google.com/file/d/15JLTnj5zhDkQ3CWNpfiDS51ykFhKEhI1/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/newdepartment.jpg,newdepartment.jpg
https://drive.google.com/file/d/15VPmA2W3BJTESFcdDiE0Xg8dzS88Klsc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/sharingnews.jpg,sharingnews.jpg
https://drive.google.com/file/d/15ni4MeSzSvzNK7ApghKU2XnMk019M6x1/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/cave.jpg,cave.jpg
https://drive.google.com/file/d/15srXsAeVJClkXGw605dER3-IGHMQBtlr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/train.jpg,train.jpg
https://drive.google.com/file/d/16B6D0IDuHuixxTYqmvYLjeLuAh-_nWS0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/relationship.jpg,relationship.jpg
